tick,rate_hz,homeostatic_gain
0,2.5,1.0095
10,21.56,1.08193
20,35.621,1.12336
30,45.4034,1.14053
40,51.2605,1.14279
50,54.7673,1.13612
60,56.867,1.12409
70,58.1241,1.10887
80,57.0219,1.09268
90,54.2043,1.08198
100,52.5173,1.07556
110,51.5072,1.07173
120,50.9024,1.06943
130,50.5403,1.06805
140,50.3235,1.06723
150,50.1937,1.06674
160,50.116,1.06644
170,50.0694,1.06626
180,50.0416,1.06616
190,50.0249,1.06609
200,50.0149,1.06606
210,50.0089,1.06603
220,50.0053,1.06602
230,50.0032,1.06601
240,50.0019,1.06601
250,50.0011,1.066
260,50.0007,1.066
270,50.0004,1.066
280,50.0002,1.066
290,50.0001,1.066
300,50.0001,1.066
310,50,1.066
320,50,1.066
330,50,1.066
340,50,1.066
350,50,1.066
360,50,1.066
370,50,1.066
380,50,1.066
390,50,1.066
400,50,1.066
410,50,1.066
420,50,1.066
430,50,1.066
440,50,1.066
450,50,1.066
460,50,1.066
470,50,1.066
480,50,1.066
490,50,1.066
500,50,1.066
510,50,1.066
520,50,1.066
530,50,1.066
540,50,1.066
550,50,1.066
560,50,1.066
570,50,1.066
580,50,1.066
590,50,1.066
