task,event,score_a,score_b
temporal_association,500,0.952381,0.0476191
temporal_association,1000,0.952381,0.0476191
temporal_association,1500,0.952381,0.0476191
temporal_association,2000,0.952381,0.0476191
temporal_association,2500,0.952381,0.0476191
temporal_association,3000,0.952381,0.0476191
temporal_association,3500,0.952381,0.0476191
temporal_association,4000,0.952381,0.0476191
temporal_association,4500,0.952381,0.0476191
temporal_association,5000,0.952381,0.0476191
nonstationary_A,500,0.952381,0.5
nonstationary_A,1000,0.952381,0.5
nonstationary_A,1500,0.952381,0.5
nonstationary_A,2000,0.952381,0.5
nonstationary_A,2500,0.952381,0.5
nonstationary_A,3000,0.952381,0.5
nonstationary_A,3500,0.952381,0.5
nonstationary_A,4000,0.952381,0.5
nonstationary_A,4500,0.952381,0.5
nonstationary_A,5000,0.952381,0.5
nonstationary_B,5500,0.952381,0.952381
nonstationary_B,6000,0.952381,0.952381
nonstationary_B,6500,0.952381,0.952381
nonstationary_B,7000,0.952381,0.952381
nonstationary_B,7500,0.952381,0.952381
nonstationary_B,8000,0.952381,0.952381
nonstationary_B,8500,0.952381,0.952381
nonstationary_B,9000,0.952381,0.952381
nonstationary_B,9500,0.952381,0.952381
nonstationary_B,10000,0.952381,0.952381
