step,precision
0,1.2
1,1.165
2,1.35675
3,1.31391
4,1.49822
5,1.44831
6,1.62589
7,1.5696
8,1.74112
9,1.67906
10,1.84511
11,1.77785
12,1.93896
13,1.86701
14,2.02366
15,1.94748
16,2.1001
17,2.0201
18,2.16909
19,2.08564
20,2.23136
21,2.14479
22,2.28755
23,2.19817
24,2.33826
25,2.24635
26,2.38403
27,2.28983
28,2.42534
29,2.32907
30,2.46262
31,2.36449
32,2.49626
33,2.39645
34,2.52663
35,2.4253
36,2.55403
37,2.45133
38,2.57876
39,2.47483
40,2.60108
41,2.49603
42,2.62123
43,2.51517
44,2.63941
45,2.53244
46,2.65582
47,2.54803
48,2.67062
49,2.56209
50,2.68399
51,2.57479
52,2.69605
53,2.58625
54,2.70693
55,2.59659
56,2.71676
57,2.60592
58,2.72562
59,2.61434
60,2.73363
61,2.62194
62,2.74085
63,2.62881
64,2.74736
65,2.635
66,2.75325
67,2.64058
68,2.75856
69,2.64563
70,2.76335
71,2.65018
72,2.76767
73,2.65429
74,2.77157
75,2.65799
76,2.77509
77,2.66134
78,2.77827
79,2.66436
80,2.78114
81,2.66708
82,2.78373
83,2.66954
84,2.78607
85,2.67176
86,2.78817
87,2.67377
88,2.79008
89,2.67557
90,2.7918
91,2.67721
92,2.79334
93,2.67868
94,2.79474
95,2.68001
96,2.79601
97,2.68121
98,2.79715
99,2.68229
