tick,proposal_id,surprise,precision,weighted_error,goal_bias,information_gain,salience,confidence
0,1,0.374999,1,0.499995,0.8,0.499995,1.546,0.666669
1,2,0.381578,1,0.52631,0,0.531339,0.770635,0.655175
2,3,0.381578,1,0.52631,0.8,0.536297,1.57547,0.655175
3,4,0.388139,1,0.552556,0,0.568168,0.800286,0.644099
4,5,0.388139,1,0.552556,0.8,0.573211,1.60509,0.644099
5,6,0.394649,1,0.578597,0,0.605413,0.829943,0.633474
6,7,0.394649,1,0.578597,0.8,0.610506,1.63469,0.633474
7,8,0.401075,1,0.604299,0,0.642839,0.859438,0.623325
8,9,0.401075,1,0.604299,0.8,0.647944,1.6641,0.623325
9,10,0.407384,1,0.629537,0,0.680208,0.88861,0.613671
10,11,0.407384,1,0.629537,0.8,0.685291,1.69317,0.613671
11,12,0.413549,1,0.654196,0,0.71729,0.917305,0.604523
12,13,0.413549,1,0.654196,0.8,0.722318,1.72174,0.604523
13,14,0.419542,1,0.678169,0,0.753865,0.94538,0.595887
14,15,0.419542,1,0.678169,0.8,0.758807,1.74967,0.595887
15,16,0.425341,1,0.701365,0,0.789731,0.972704,0.587763
16,17,0.425341,1,0.701365,0.8,0.794558,1.77684,0.587763
17,18,0.430926,1,0.723705,0,0.824701,0.999165,0.580146
18,19,0.430926,1,0.723705,0.8,0.829389,1.80313,0.580146
19,20,0.436281,1,0.745125,0,0.858615,1.02467,0.573025
20,21,0.436281,1,0.745125,0.8,0.863143,1.82845,0.573025
21,22,0.441394,1,0.765575,0,0.891333,1.04913,0.566388
22,23,0.441394,1,0.765575,0.8,0.895684,1.85272,0.566388
23,24,0.446255,1,0.785019,0,0.922742,1.07249,0.560218
24,25,0.446255,1,0.785019,0.8,0.926902,1.87589,0.560218
25,26,0.450859,1,0.803435,0,0.952754,1.0947,0.554497
26,27,0.450859,1,0.803435,0.8,0.956714,1.89791,0.554497
27,28,0.455203,1,0.820813,0,0.981305,1.11574,0.549205
28,29,0.455203,1,0.820813,0.8,0.985057,1.91876,0.549205
29,30,0.459289,1,0.837156,0,1.00835,1.13559,0.54432
30,31,0.459289,1,0.837156,0.8,1.01189,1.93842,0.54432
31,32,0.463118,1,0.852473,0,1.03387,1.15425,0.539819
32,33,0.463118,1,0.852473,0.8,1.0372,1.9569,0.539819
33,34,0.466697,1,0.866787,0,1.05787,1.17175,0.53568
34,35,0.466697,1,0.866787,0.8,1.06099,1.97421,0.53568
35,36,0.470031,1,0.880124,0,1.08036,1.18809,0.53188
36,37,0.470031,1,0.880124,0.8,1.08327,1.99037,0.53188
37,38,0.473129,1,0.892518,0,1.10136,1.20331,0.528397
38,39,0.473129,1,0.892518,0.8,1.10407,2.00542,0.528397
39,40,0.476002,1,0.904007,0,1.12092,1.21745,0.525208
40,41,0.476002,1,0.904007,0.8,1.12344,2.0194,0.525208
41,42,0.478658,1,0.914633,0,1.13908,1.23055,0.522293
42,43,0.478658,1,0.914633,0.8,1.14142,2.03235,0.522293
43,44,0.48111,1,0.924439,0,1.15591,1.24266,0.519632
44,45,0.48111,1,0.924439,0.8,1.15807,2.04433,0.519632
45,46,0.483368,1,0.933472,0,1.17147,1.25384,0.517204
46,47,0.483368,1,0.933472,0.8,1.17346,2.05537,0.517204
47,48,0.485444,1,0.941777,0,1.18581,1.26413,0.514992
48,49,0.485444,1,0.941777,0.8,1.18764,2.06553,0.514992
49,50,0.48735,1,0.9494,0,1.19902,1.27359,0.512978
