broadcast_id,tick,winner_count,coalition_score,ignition_margin,goal_id,proposal_ids
1,0,2,1.83525,1.33525,0,"4|0"
2,1,2,1.75166,1.25166,1,"13|12"
3,2,2,1.40526,0.905262,2,"21|22"
4,3,2,0.663683,0.163683,0,"34|32"
5,4,2,1.54338,1.04338,1,"43|40"
6,5,2,1.57109,1.07109,2,"53|50"
7,6,2,0.857209,0.357209,0,"61|60"
8,7,2,1.51113,1.01113,1,"70|71"
9,8,2,1.71999,1.21999,2,"82|83"
10,9,2,1.92654,1.42654,0,"92|93"
11,10,2,1.48431,0.98431,1,"101|104"
12,11,2,0.862258,0.362258,2,"114|111"
13,12,2,1.14653,0.64653,0,"123|124"
14,13,2,1.54356,1.04356,1,"131|130"
15,14,2,1.83619,1.33619,2,"141|143"
16,15,2,1.0484,0.548402,0,"152|151"
17,16,2,1.66405,1.16405,1,"163|161"
18,17,2,1.50623,1.00623,2,"173|170"
19,18,2,1.28208,0.782082,0,"181|180"
20,19,2,1.97308,1.47308,1,"190|193"
21,20,2,1.51398,1.01398,2,"202|201"
22,21,2,1.26973,0.769725,0,"210|211"
23,22,2,1.78954,1.28954,1,"224|222"
24,23,2,1.27329,0.773295,2,"233|230"
25,24,2,1.18366,0.683659,0,"241|244"
26,25,2,1.4371,0.937099,1,"252|250"
27,26,2,1.67913,1.17913,2,"260|264"
28,27,2,1.35668,0.856683,0,"271|273"
29,28,2,1.64162,1.14162,1,"281|280"
30,29,2,1.58581,1.08581,2,"292|291"
31,30,2,1.52561,1.02561,0,"302|300"
32,31,2,1.63648,1.13648,1,"312|313"
33,32,2,1.87072,1.37072,2,"323|321"
34,33,2,1.72952,1.22952,0,"332|331"
35,34,2,1.66454,1.16454,1,"343|340"
36,35,2,1.53281,1.03281,2,"350|353"
37,36,2,1.29615,0.79615,0,"364|361"
38,37,2,1.93771,1.43771,1,"373|374"
39,38,2,1.8,1.3,2,"382|384"
40,39,2,1.62537,1.12537,0,"392|390"
41,40,2,1.48321,0.983212,1,"403|404"
42,41,2,1.44539,0.945388,2,"411|412"
43,42,2,1.69192,1.19192,0,"420|421"
44,43,2,1.52343,1.02343,1,"432|433"
45,44,2,1.88183,1.38183,2,"443|442"
46,45,2,1.45901,0.95901,0,"450|453"
47,46,2,0.560059,0.0600587,1,"461|460"
48,47,2,1.18348,0.683484,2,"473|472"
49,48,2,1.55349,1.05349,0,"483|480"
50,49,2,1.48537,0.98537,1,"493|494"
51,50,2,1.73015,1.23015,2,"502|501"
52,51,2,1.78936,1.28936,0,"511|514"
53,52,2,1.43191,0.931911,1,"523|520"
54,53,2,1.67006,1.17006,2,"530|533"
55,54,2,1.58489,1.08489,0,"542|543"
56,55,2,1.33552,0.835524,1,"550|553"
57,56,2,1.91325,1.41325,2,"562|560"
58,57,2,1.62221,1.12221,0,"571|574"
59,58,2,1.44686,0.946859,1,"581|582"
60,59,2,1.33751,0.837505,2,"591|593"
61,60,2,1.34427,0.844268,0,"602|603"
62,61,2,1.65006,1.15006,1,"613|611"
63,62,2,1.04957,0.549571,2,"621|620"
64,63,2,1.77088,1.27088,0,"632|634"
65,64,2,1.8024,1.3024,1,"643|640"
66,65,2,1.5393,1.0393,2,"651|650"
67,66,2,1.68117,1.18117,0,"664|662"
68,67,2,1.30921,0.809208,1,"671|670"
69,68,2,1.84691,1.34691,2,"682|681"
70,69,2,1.87666,1.37666,0,"692|694"
71,70,2,1.09443,0.59443,1,"700|701"
72,71,2,1.77914,1.27914,2,"714|710"
73,72,2,1.39155,0.891554,0,"720|721"
74,73,2,1.80024,1.30024,1,"730|731"
75,74,2,1.75602,1.25602,2,"743|744"
76,75,2,1.65871,1.15871,0,"753|752"
77,76,2,0.615032,0.115032,1,"764|762"
78,77,2,1.33658,0.836577,2,"772|771"
79,78,2,1.75316,1.25316,0,"783|784"
80,79,2,1.72095,1.22095,1,"792|790"
81,80,2,0.578431,0.0784312,2,"801|802"
82,81,2,1.84769,1.34769,0,"814|812"
83,82,2,1.2423,0.742298,1,"821|824"
84,83,2,1.27068,0.770681,2,"833|830"
85,84,2,1.68722,1.18722,0,"842|841"
86,85,2,1.78417,1.28417,1,"852|850"
87,86,2,1.21372,0.713724,2,"863|862"
88,87,2,1.17953,0.67953,0,"871|872"
89,88,2,1.57344,1.07344,1,"882|883"
90,89,2,1.72689,1.22689,2,"890|894"
91,90,2,1.87767,1.37767,0,"902|900"
92,91,2,1.63543,1.13543,1,"912|911"
93,92,2,1.18715,0.687153,2,"920|921"
94,93,2,1.62196,1.12196,0,"933|931"
95,94,2,1.70178,1.20178,1,"943|942"
96,95,2,1.70311,1.20311,2,"952|950"
97,96,2,1.32671,0.826709,0,"961|964"
98,97,2,1.60869,1.10869,1,"973|972"
99,98,2,1.76025,1.26025,2,"983|984"
100,99,2,1.47694,0.976936,0,"993|994"
