step,lexical_entries,construction_entries,state_bytes
0,3,1,1312
1,5,1,2112
2,5,1,2272
3,5,1,2432
4,5,1,2592
5,5,1,2752
6,5,1,2912
7,5,1,3072
8,5,1,3232
9,5,1,3392
10,5,1,3552
11,5,1,3712
12,5,1,3872
13,5,1,4032
14,5,1,4192
15,5,1,4352
16,5,1,4512
17,5,1,4672
18,5,1,4832
19,5,1,4992
20,5,1,5152
21,5,1,5312
22,5,1,5472
23,5,1,5632
24,5,1,5792
25,5,1,5952
26,5,1,6112
27,5,1,6272
28,5,1,6432
29,5,1,6592
30,5,1,6752
31,5,1,6912
32,5,1,7072
33,5,1,7232
34,5,1,7392
35,5,1,7552
36,5,1,7712
37,5,1,7872
38,5,1,8032
39,5,1,8192
