query_id,status,premise_count,evidence_count,proof_hash
0,VALID,1,1,10048148062899602213
1,VALID,1,1,10048148062899602213
2,VALID,1,1,10048148062899602213
3,VALID,1,1,10048148062899602213
4,VALID,1,1,10048148062899602213
5,VALID,1,1,10048148062899602213
6,VALID,1,1,10048148062899602213
7,VALID,1,1,10048148062899602213
8,VALID,1,1,10048148062899602213
9,VALID,1,1,10048148062899602213
10,VALID,1,1,10048148062899602213
11,VALID,1,1,10048148062899602213
12,VALID,1,1,10048148062899602213
13,VALID,1,1,10048148062899602213
14,VALID,1,1,10048148062899602213
15,VALID,1,1,10048148062899602213
16,VALID,1,1,10048148062899602213
17,VALID,1,1,10048148062899602213
18,VALID,1,1,10048148062899602213
19,VALID,1,1,10048148062899602213
